GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Alexandra,com.prestonsproductions.alexandra.config,WebMvcConfig,182,0,12,0,38,0,14,0,8,0
Alexandra,com.prestonsproductions.alexandra.config,PersistenceConfig,110,0,0,0,30,0,6,0,6,0
Alexandra,com.prestonsproductions.alexandra.config,CustomRequestInterceptor,117,0,6,0,24,0,7,0,4,0
Alexandra,com.prestonsproductions.alexandra.config,CustomSuccessHandler,40,0,2,0,11,0,4,0,3,0
Alexandra,com.prestonsproductions.alexandra.config,CustomWebAppInitializer,25,0,0,0,6,0,5,0,5,0
Alexandra,com.prestonsproductions.alexandra.utils,ApplicationUtils,16,0,0,0,6,0,3,0,3,0
Alexandra,com.prestonsproductions.alexandra.dao,AbstractJpaDAO,55,0,0,0,13,0,8,0,8,0
Alexandra,com.prestonsproductions.alexandra.security,CustomSecurityWebApplicationInitializer,3,0,0,0,1,0,1,0,1,0
Alexandra,com.prestonsproductions.alexandra.security,UserAuthenticationProvider,83,0,8,0,15,0,7,0,3,0
Alexandra,com.prestonsproductions.alexandra.security,SecurityConfig,114,0,0,0,26,0,6,0,6,0
Alexandra,com.prestonsproductions.alexandra.daoImpl,UseCaseDAOImpl,39,0,2,0,11,0,3,0,2,0
Alexandra,com.prestonsproductions.alexandra.daoImpl,UserDAOImpl,39,0,2,0,11,0,3,0,2,0
Alexandra,com.prestonsproductions.alexandra.serviceImpl,HttpRequestServiceImpl,264,0,20,0,50,0,15,0,5,0
Alexandra,com.prestonsproductions.alexandra.serviceImpl,ScienceOlympiadServiceImpl,24,0,0,0,4,0,2,0,2,0
Alexandra,com.prestonsproductions.alexandra.controller,HomeController,105,0,0,0,30,0,7,0,7,0
Alexandra,com.prestonsproductions.alexandra.controller,ErrorController,81,0,15,0,24,0,14,0,4,0
Alexandra,com.prestonsproductions.alexandra.model,User,31,0,0,0,13,0,9,0,9,0
Alexandra,com.prestonsproductions.alexandra.model,Role,24,0,0,0,10,0,7,0,7,0
Alexandra,com.prestonsproductions.alexandra.model,UseCase,38,0,0,0,17,0,11,0,11,0
Alexandra,com.prestonsproductions.alexandra.dto,CustomUserPrincipal,51,0,0,0,18,0,10,0,10,0
